original,wt
134.507183908,154.05338676
134.507183908,126.5140478
134.507183908,91.8112680849
134.507183908,51.1912035492
134.507183908,6.21735209513
149.596264368,-41.2857761677
149.596264368,-89.3034966022
149.596264368,-135.713744069
149.596264368,-178.378549047
149.596264368,-215.240317374
172.466954023,-244.418590345
172.466954023,-264.302711379
172.466954023,-273.635795391
172.466954023,-271.585602423
172.466954023,-257.798360497
206.36637931,-232.432252728
206.36637931,-196.168155696
206.36637931,-150.196251954
206.36637931,-96.1782904037
206.36637931,-36.1864763239
242.985153257,27.3788252376
242.985153257,91.8892584806
242.985153257,154.602208355
242.985153257,212.78298151
242.985153257,263.829761635
261.887931034,305.395379437
261.887931034,335.499951925
261.887931034,352.628764608
261.887931034,355.810382929
261.887931034,344.67085838
251.716954023,319.460998593
251.716954023,281.054944661
251.716954023,230.919679367
251.716954023,171.056506523
251.716954023,103.916922335
226.530651341,32.2965736184
226.530651341,-40.7879003358
226.530651341,-112.233472007
226.530651341,-178.990505782
226.530651341,-238.201148129
209.653735632,-287.329786224
209.653735632,-324.279377077
209.653735632,-347.488095665
209.653735632,-356.001668317
209.653735632,-349.517901897
210.137931034,-328.401234084
210.137931034,-293.666551467
210.137931034,-246.932980876
210.137931034,-190.34978486
210.137931034,-126.497815369
237.006704981,-58.2711369353
237.006704981,11.255633826
237.006704981,78.9680562585
237.006704981,141.854073832
237.006704981,197.141058936
259.661877395,242.421311787
259.661877395,275.760195495
259.661877395,295.781929329
259.661877395,301.729136097
259.661877395,293.493494709
280.749042146,271.61622405
280.749042146,237.258552406
280.749042146,192.143738776
280.749042146,138.473540558
280.749042146,78.8232029515
292.605363985,16.0200233464
292.605363985,-46.9887263134
292.605363985,-107.272287424
292.605363985,-162.050931927
292.605363985,-208.822282177
313.995689655,-245.473653658
313.995689655,-270.375355152
313.995689655,-282.450825365
313.995689655,-281.220611454
313.995689655,-266.818447221
347.321360153,-239.979006057
347.321360153,-201.998222886
347.321360153,-154.66833843
347.321360153,-100.190960272
347.321360153,-41.0724070405
376.254789272,19.9936375816
376.254789272,80.2506172578
376.254789272,137.004943925
376.254789272,187.747405714
376.254789272,230.264641928
389.085727969,262.73571495
389.085727969,283.809559043
389.085727969,292.660018863
389.085727969,289.016261267
389.085727969,273.167502042
382.072796935,245.942180873
382.072796935,208.662888632
382.072796935,163.079447942
382.072796935,111.283521732
382.072796935,55.6089319358
362.473659004,-1.47752384874
362.473659004,-57.4895921799
362.473659004,-110.034120278
362.473659004,-156.917463165
362.473659004,-196.240910077
348.287835249,-226.480876245
348.287835249,-246.550377795
348.287835249,-255.839235598
348.287835249,-254.231493316
348.287835249,-242.099635094
353.873084291,-220.276295976
353.873084291,-190.005219365
353.873084291,-152.874179395
353.873084291,-110.733405261
353.873084291,-65.6036802943
367.054118774,-19.5787109091
367.054118774,25.2734494562
367.054118774,67.0051856459
367.054118774,103.875862995
367.054118774,134.426174196
380.138409962,157.537026876
380.138409962,172.470546339
380.138409962,178.891710898
380.138409962,176.870134196
380.138409962,166.86250714
388.344827586,149.677159612
388.344827586,126.42305036
388.344827586,98.4462003676
388.344827586,67.2571166239
388.344827586,34.4530861675
394.055555556,1.63934228342
394.055555556,-29.6469843662
394.055555556,-58.0065058906
394.055555556,-82.2376515706
394.055555556,-101.384632796
400.557471264,-114.771476256
400.557471264,-122.021089479
400.557471264,-123.059128894
400.557471264,-118.103221637
400.557471264,-107.63880693
413.745689655,-92.3834749938
413.745689655,-73.2421626014
413.745689655,-51.2558948755
413.745689655,-27.5469325789
413.745689655,-3.26319279574
417.290229885,20.4753324986
417.290229885,42.6257134762
417.290229885,62.2647169873
417.290229885,78.6233500445
417.290229885,91.1122424234
415.587164751,99.3373335853
415.587164751,103.105849125
415.587164751,102.423028778
415.587164751,97.4804784052
415.587164751,88.6373449967
404.528735632,76.3957459037
404.528735632,61.3720173661
404.528735632,44.2653855332
404.528735632,25.8256139697
404.528735632,6.82105812751
394.308908046,-11.9916241522
394.308908046,-29.8950781009
394.308908046,-46.2353874467
394.308908046,-60.4421990432
394.308908046,-72.044528877
380.08045977,-80.68214977
380.08045977,-86.1126356572
380.08045977,-88.2142734418
380.08045977,-86.9851501075
380.08045977,-82.5387824639
376.16954023,-75.0966849018
376.16954023,-64.9782741459
376.16954023,-52.5884975984
376.16954023,-38.4035520071
376.16954023,-22.95503969
371.300766284,-6.81289675577
371.300766284,9.43257397124
371.300766284,25.1892212858
371.300766284,39.8817471881
371.300766284,52.9701898129
370.250957854,63.9677465891
370.250957854,72.4574580483
370.250957854,78.1072417798
370.250957854,80.682749519
370.250957854,80.0575245428
366.606800766,76.2199664497
366.606800766,69.2766693306
366.606800766,59.4517884825
366.606800766,47.082209121
366.606800766,32.6084346429
365.046934866,16.5612764388
365.046934866,-0.455395176318
365.046934866,-17.7853972247
365.046934866,-34.7438585261
365.046934866,-50.6429404907
358.413314176,-64.818733252
358.413314176,-76.6582992218
358.413314176,-85.6257686066
358.413314176,-91.2863687659
358.413314176,-93.327295098
364.178639847,-91.5744068504
364.178639847,-86.00385614
364.178639847,-76.7479295879
364.178639847,-64.094594241
364.178639847,-48.4804858215
364.193007663,-30.4773489124
364.193007663,-10.7722250191
364.193007663,9.8580261899
364.193007663,30.5770074072
364.193007663,50.5227439242
365.045977011,68.8439804307
365.045977011,84.7372986094
365.045977011,97.483427005
365.045977011,106.481071294
365.045977011,111.276626087
356.752394636,111.588242562
356.752394636,107.32291956
356.752394636,98.5855551062
356.752394636,85.6792321408
356.752394636,69.0964035136
343.94683908,49.5010701895
343.94683908,27.7024925721
343.94683908,4.62141512974
343.94683908,-18.7498051543
343.94683908,-41.3914195935
326.730842912,-62.3028309476
326.730842912,-80.5492475808
326.730842912,-95.3061631208
326.730842912,-105.899420957
326.730842912,-111.838788847
